iter	Passed	Remaining
0	0	84
1	1	79
2	2	73
3	2	67
4	3	67
5	4	66
6	4	65
7	5	64
8	6	63
9	6	62
10	7	62
11	8	61
12	9	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	57
18	13	57
19	14	56
20	14	55
21	15	54
22	16	53
23	16	52
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	47
31	22	46
32	22	45
33	23	45
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
